pollster,date,sample,moe,Harris (D),Trump (R),factor
CBS News,9/3 - 9/6,1085 LV,3.4,50,50,
Trafalgar Group (R),8/28 - 8/30,1082 LV,2.9,45,47,
The Hill/Emerson,8/25 - 8/28,950 LV,3.1,48,48,
CNN*,8/23 - 8/29,789 LV,4.7,47,47,
Bloomberg,8/23 - 8/26,803 RV,3,51,47,
InsiderAdvantage,8/18 - 8/19,800 LV,3.5,46,47,
Rasmussen Reports,8/13 - 8/17,1312 LV,—,46,47,
Emerson,8/13 - 8/14,1000 LV,3,48,49,
Quinnipiac,8/8 - 8/12,1738 LV,2.4,50,47,
NY Times/Siena,8/6 - 8/9,693 LV,—,50,46,
Trafalgar Group (R),8/6 - 8/8,1000 LV,2.9,44,46,
PPP (D),7/29 - 7/30,627 LV,3.9,47,48,
Cook Political Report,7/26 - 8/2,411 LV,—,49,48,
Bloomberg,7/24 - 7/28,804 RV,3,46,50,
FOX News,7/22 - 7/24,1034 RV,3,49,49,
The Hill/Emerson,7/22 - 7/23,850 RV,3.3,46,48,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,